3144,Escape ballpen and pencil set,40 x 12,40 x 2,"18 x 6,2 x 1,5 cm",Aluminium / Iron / Iron
3145,"Tape measure, 5m",35 x 35,,"7,5 x 7 x 2,5 cm",Metal / Plastic / Rubber
3148,Luzern ballpen with blue ink.,14 x 20,50 x 10,"ø 1 x 13,5 cm",Aluminium / Iron / Iron
3167,Luggage tag,40 x 40,,"5,5 x 9,5 x 0,5 cm",ABS / PVC
3177,White porcelain cup and saucer.,50 x 20,,"ø 12 x 5,6 cm",Porcelain
3179,Super white porcelain cup and saucer.,50 x 20,,"ø 15 x 7,4 cm",Porcelain
3180,Pass holder with 60cm cord,15 dia ,,"3,5 x 11,5 x 1,1 cm",ABS / Aluminium / Nylon / Iron
3182,Ski pass holder with 80cm cord,15 dia ,,"3,2 x 1,5 x 8 cm",ABS / Metal / PVC / Nylon
3190,Plastic car power adapter. ,20 x 10,,"ø 2,4 x 5,5 cm",ABS / Metal
3195,Plastic UV watch,n/a,,"3,7 x 23,5 x 3 cm",PVC
3199,"Weather station, 2 pin & batt ",50 x 12,35 x 20,"2,5 x 11,3 x 11 cm",ABS / Acrylic / PS
3202,Plastic 500ml protein shaker. ,30 x 30,20 x 60,"ø 9,3 x 22 cm",PE / PP
3203,Plastic 356ml drinking mug. ,30 x 20,,"ø 9,4 x 11,2 cm",PP / Silicone
3208,Stackable porcelain mug.,50 x 60,,"ø 7,7 x 8,5 cm",Porcelain
3247,Polyester 240D messenger bag. ,n/a,,35 x 28 x 12 cm,Polyester 240D
3262,Plastic 30cm wall clock. ,30 x 15,,"ø 32 x 4,1 cm",Aluminium / Plastic
3280,Plastic car power adapter. ,20 x 10,,"ø 3,2 x 6,1 cm",Plastic
3283,Silicon arm strap with two LED lights. ,30 x 10,10 x 6,"3,8 x 18,8 x 2,8 cm",ABS / Silicone / TPR
3298,"Pen set, ballpen and pencil",40 x 20,30 x 6,"16 x 5,4 x 1,9 cm",Aluminium / Tin
3306,Hearn four colour ink ballpen ,25 x 12,,"ø 1,8 x 13,5 cm",ABS / TPR
3321,Carman ballpen with blue ink.,30 x 18,,"ø 1 x 14,5 cm",AS / AS / Rubber / AS / AS
3322,Plastic portable electronic fan. ,40 x 13,,"ø 9,9 x 3 cm",ABS / PVC
3337,Classic ballpen and rollerpen,30 x 15 ,,"7,5 x 17,3 x 3,2 cm",Iron / Carbon Fibre / Brass
